2024-03-29T12:30:42.815 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.707695561630155
2024-03-29T12:30:43.316 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.7368879517022418
2024-03-29T12:30:43.887 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.3301530097032579
2024-03-29T12:30:44.757 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.18048095033500822
2024-03-29T12:30:44.823 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.16620531669892813
2024-03-29T12:30:45.339 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.05269267951399925
2024-03-29T12:30:45.833 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.037174391053559575
2024-03-29T12:30:46.349 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.14753917386866533
2024-03-29T12:30:46.843 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0552578279361331
2024-03-29T12:30:47.475 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.04784240328814171
2024-03-29T12:30:47.847 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.06501155624722976
2024-03-29T12:30:48.383 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.06501155624722976
2024-03-29T12:30:49.515 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.09381640396185453
2024-03-29T12:30:49.589 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.17747463038618783
2024-03-29T12:30:50.539 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.29526433823643927
2024-03-29T12:30:50.601 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.06965044973731693
2024-03-29T12:30:51.569 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.5864230615900325
2024-03-29T12:30:51.632 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.437675517420935
2024-03-29T12:30:51.871 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.7368879517022418
2024-03-29T12:30:52.437 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.30593884802396865
2024-03-29T12:30:53.605 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.015294188153506028
2024-03-29T12:30:53.668 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.4892535207965203
2024-03-29T12:30:53.881 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.49660138103830853
2024-03-29T12:30:54.758 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.386711520409035
2024-03-29T12:30:54.890 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.5323142047218727
2024-03-29T12:30:55.401 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.601630579282002
2024-03-29T12:30:56.578 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.055962662266939134
2024-03-29T12:30:56.648 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0818014552003632
2024-03-29T12:30:57.205 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.08094654814575009
