2024-04-02T21:22:33.375 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:34.374 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:35.375 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:36.380 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:37.403 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:37.984 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:38.471 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:38.978 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:39.516 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:40.058 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:40.570 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:41.119 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:41.618 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:42.125 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:42.624 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:42.687 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:43.124 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:43.248 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:43.688 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:44.185 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:44.226 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:44.735 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:45.228 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:45.251 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:45.751 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:46.233 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:46.248 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:46.754 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:46.827 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:47.258 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:47.270 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:47.723 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:47.755 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:48.216 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:48.252 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:48.763 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
