2024-04-02T20:10:28.792 | INFO | [ejercicio_1.py] | [166] | Señal de terminar programa
2024-04-02T20:17:44.440 | INFO | [ejercicio_1.py] | [166] | Señal de terminar programa
2024-04-02T20:26:32.889 | INFO | [ejercicio_1.py] | [171] | Señal de terminar programa
2024-04-02T20:45:19.756 | INFO | [ejercicio_1.py] | [171] | Señal de terminar programa
2024-04-02T20:45:36.517 | INFO | [ejercicio_1.py] | [171] | Señal de terminar programa
2024-04-02T20:55:51.162 | INFO | [ejercicio_1.py] | [171] | Señal de terminar programa
2024-04-02T20:58:41.434 | INFO | [ejercicio_1.py] | [171] | Señal de terminar programa
2024-04-02T21:10:49.728 | INFO | [ejercicio_1.py] | [171] | Señal de terminar programa
2024-04-02T21:22:02.096 | INFO | [ejercicio_1.py] | [176] | Señal de terminar programa
2024-04-02T21:22:06.332 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:07.336 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:08.341 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:09.338 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:10.346 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:11.340 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:12.337 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:13.341 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:14.341 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:15.351 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:16.349 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:17.356 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:18.346 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:19.349 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:20.358 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:21.355 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:22.352 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:23.370 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:24.355 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:25.361 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:26.358 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:27.358 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:28.364 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:29.362 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:30.374 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:31.375 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:32.367 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:33.375 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:34.374 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:35.375 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:36.380 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:37.403 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:37.984 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:38.471 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:38.978 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:39.516 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:40.058 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:40.570 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:41.119 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:41.618 | INFO | [ejercicio_1.py] | [29] | Accel 16.0, estado_sistema 0
2024-04-02T21:22:42.125 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:42.624 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:42.687 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:43.124 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:43.248 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:43.688 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:44.185 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:44.226 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:44.735 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:45.228 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:45.251 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:45.751 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:46.233 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:46.248 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:46.754 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:46.827 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:47.258 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
